id,name,source,source_type,task,status,issues_found,task_blockers,browser_status,browser_issue_count,low_vision_status,low_vision_issue_count,task_execution_status,task_steps_passed,task_steps_total,high_count,medium_count,low_count,issue_types,json_report,markdown_report,html_report,error
webaim_contact,WebAIM,https://webaim.org/contact/,url,,passed,50,0,passed,2,passed,35,,,,35,15,0,missing_form_label;missing_image_alt;browser_focused_control_missing_name;zoom_fixed_width_content;focus_indicator_missing,reports/outreach_ai_scout/webaim_contact.json,reports/outreach_ai_scout/webaim_contact.md,reports/outreach_ai_scout/webaim_contact.html,
knowbility_contact,Knowbility,https://knowbility.org/contact/,url,,passed,3,0,passed,0,passed,3,,,,0,3,0,zoom_fixed_width_content,reports/outreach_ai_scout/knowbility_contact.json,reports/outreach_ai_scout/knowbility_contact.md,reports/outreach_ai_scout/knowbility_contact.html,
w3c_wai_contacting,W3C WAI,https://www.w3.org/WAI/about/contacting/,url,,passed,23,0,passed,1,passed,21,,,,20,3,0,missing_button_name;browser_focused_control_missing_name;low_contrast_text;zoom_fixed_width_content;focus_indicator_missing,reports/outreach_ai_scout/w3c_wai_contacting.json,reports/outreach_ai_scout/w3c_wai_contacting.md,reports/outreach_ai_scout/w3c_wai_contacting.html,
us_access_board_contact,U.S. Access Board,https://www.access-board.gov/contact/,url,,passed,4,0,passed,0,passed,3,,,,0,3,1,multiple_h1;zoom_fixed_width_content,reports/outreach_ai_scout/us_access_board_contact.json,reports/outreach_ai_scout/us_access_board_contact.md,reports/outreach_ai_scout/us_access_board_contact.html,
doit_center_home,"DO-IT Center, University of Washington",https://www.washington.edu/doit/,url,,failed,0,0,,0,,0,,,,0,0,0,,,,,HTTP error 502: 
cast_home,CAST,https://www.cast.org/,url,,passed,29,0,passed,2,passed,23,,,,22,7,0,missing_image_alt;missing_form_label;low_contrast_text;zoom_fixed_width_content,reports/outreach_ai_scout/cast_home.json,reports/outreach_ai_scout/cast_home.md,reports/outreach_ai_scout/cast_home.html,
iaap_home,IAAP / Accessibility Association,https://www.accessibilityassociation.org/,url,,passed,19,0,passed,9,passed,9,,,,3,16,0,missing_h1;browser_repeated_focus;generic_link_text;missing_image_alt;low_contrast_text;zoom_fixed_width_content;focus_indicator_missing,reports/outreach_ai_scout/iaap_home.json,reports/outreach_ai_scout/iaap_home.md,reports/outreach_ai_scout/iaap_home.html,
ahead_home,AHEAD,https://www.ahead.org/,url,,passed,54,0,passed,25,passed,15,,,,40,13,1,missing_link_name;missing_image_alt;multiple_h1;skipped_heading_level;browser_focused_control_missing_name;browser_focus_on_hidden_element;low_contrast_text;zoom_fixed_width_content;focus_indicator_missing,reports/outreach_ai_scout/ahead_home.json,reports/outreach_ai_scout/ahead_home.md,reports/outreach_ai_scout/ahead_home.html,
ace_home,American Council on Education,https://www.acenet.edu/,url,,passed,14,0,failed,0,failed,0,,,,6,8,0,missing_link_name;generic_link_text;missing_image_alt,reports/outreach_ai_scout/ace_home.json,reports/outreach_ai_scout/ace_home.md,reports/outreach_ai_scout/ace_home.html,
washington_post_accessibility,Washington Post accessibility page,https://www.washingtonpost.com/information/2023/03/01/accessibility/,url,,failed,0,0,,0,,0,,,,0,0,0,,,,,The read operation timed out
